Duplicate File Name,Folders Found In,,
326705006.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers,
589959736.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
387170203.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
355872366.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
492638289.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers,SoFAIR_AD_Chemistry_papers
541267912.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers,
231901793.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
226758787.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
561966503.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
459186767.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
388634902.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
480388952.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
491355917.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Comp_Sci_papers,
518431968.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
325954335.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Chemistry_papers,
563870112.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
266993665.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
322655523.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
387861747.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Earth_Planet_Sciences_papers
344943218.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
589972418.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
534945888.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
326030588.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
237428551.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
482071339.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
270145779.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
552691992.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
341793359.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
347567065.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
287585181.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
287036618.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
294782035.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
344894141.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
589954747.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
541087089.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
327082202.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
363141933.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
327067271.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
529515525.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
544168731.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
534680258.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
478783078.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
334594369.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
305077678.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers
387902999.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
534113246.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
395131492.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
478074523.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
479377486.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
335076453.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
287585084.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Chemistry_papers
572843206.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
334609915.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
392178132.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
567452079.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
427423888.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
480702949.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Chemistry_papers,SoFAIR_AD_BioChem_papers
303696641.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
521111318.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
477903324.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
589967711.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
511995907.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
534454573.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
348700465.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers
335360857.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
482652333.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Earth_Planet_Sciences_papers
568041921.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
444056571.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
427520565.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
326519957.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
571866248.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
287613111.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
572847885.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
516202173.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
479032429.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
478783345.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
429255948.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Comp_Sci_papers,
558906982.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Chemistry_papers
491390543.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
459156124.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
388993319.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
328757652.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
492594832.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
576501013.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
558906954.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,SoFAIR_AD_Comp_Sci_papers
343313808.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
288345849.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
553622151.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
541366252.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers
520521119.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
516412109.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
533447945.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
553776726.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
337612502.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
534017918.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
397489067.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers
287579382.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
305121137.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
532708866.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
334955852.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Comp_Sci_papers,
327250554.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
386170773.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
571619116.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Comp_Sci_papers,
565843991.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
355113397.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
396338668.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
523416368.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
480762137.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Earth_Planet_Sciences_papers
478588472.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
489542966.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
286374934.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
553715898.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
555940934.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
344893644.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
386423481.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
478072313.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
589947592.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
481633318.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
351643182.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
480428244.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
534385803.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
548720653.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
572834929.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
483510261.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
580478742.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
305118404.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
395737952.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
478617289.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
287941394.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
342535482.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
356664701.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
567412423.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
479377566.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
576923278.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Chemistry_papers,
395602192.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
572215821.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
323138338.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
228077519.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
479401913.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
334429009.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
519751321.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers
305110558.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,SoFAIR_AD_Chemistry_papers
542356109.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BioChem_papers,
481494185.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
288346242.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
333656213.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers
591033078.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
333568184.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Engineering_papers,
296228675.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
567714759.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
534945275.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Energy_Sciences_papers,
491092801.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
566468847.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
228123375.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
334415085.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_BMA_papers,
328707804.pdf,SoFAIR_AD_Environmental_Science_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
